keyword,lane,priority,domains_count,best_position,max_volume,min_kd,domains,reason_to_keep
cours luxembourgeois,luxembourgish_route,P1,9,1,260,26,inlingua.lu | inll.lu | lifelong-learning.lu | luxlanguages.lu | luxlessons.lu | moienasbl.lu | prolingua.lu | sproochentest.etic.lu | unipop.lu,9 domains · vol 260 · best pos 1 · direct local route signal
cours de luxembourgeois,luxembourgish_route,P1,7,2,720,21,educateme.lu | inll.lu | lifelong-learning.lu | luxlanguages.lu | luxlessons.lu | moienasbl.lu | prolingua.lu,7 domains · vol 720 · best pos 2 · direct local route signal
french courses luxembourg,french_language,P1,6,2,390,14,educateme.lu | inlingua.lu | institut-francais-luxembourg.lu | lifelong-learning.lu | luxlanguages.lu | prolingua.lu,6 domains · vol 390 · best pos 2 · local French demand
language courses luxembourg,general_language,P1,6,1,320,21,educateme.lu | inlingua.lu | inll.lu | luxlessons.lu | moienasbl.lu | prolingua.lu,6 domains · vol 320 · best pos 1 · category-level language demand
cours de langue luxembourg,general_language,P1,6,1,140,41,inlingua.lu | inll.lu | luxlanguages.lu | moienasbl.lu | prolingua.lu | unipop.lu,6 domains · vol 140 · best pos 1 · category-level language demand
courses in luxembourg,general_language,P1,6,19,110,22,educateme.lu | inlingua.lu | luxlanguages.lu | moienasbl.lu | prolingua.lu | unipop.lu,6 domains · vol 110 · best pos 19 · category-level language demand
cours intensifs luxembourgeois,luxembourgish_route,P1,6,3,70,15,inlingua.lu | institut-francais-luxembourg.lu | luxlanguages.lu | moienasbl.lu | prolingua.lu | unipop.lu,6 domains · vol 70 · best pos 3 · direct local route signal
french lessons luxembourg,french_language,P1,6,6,30,11,educateme.lu | inlingua.lu | institut-francais-luxembourg.lu | luxlanguages.lu | prolingua.lu | unipop.lu,6 domains · vol 30 · best pos 6 · local French demand
cours de français luxembourg,french_language,P2,5,5,140,16,inlingua.lu | institut-francais-luxembourg.lu | luxlanguages.lu | prolingua.lu | unipop.lu,5 domains · vol 140 · best pos 5 · local French demand
cours intensif anglais luxembourg,english_german_adjacent,P2,5,1,40,16,inlingua.lu | lifelong-learning.lu | luxlanguages.lu | moienasbl.lu | prolingua.lu,5 domains · vol 40 · best pos 1 · adjacent language demand
cours luxembourgeois luxembourg,luxembourgish_route,P2,5,4,30,31,inlingua.lu | luxlanguages.lu | moienasbl.lu | prolingua.lu | sproochentest.etic.lu,5 domains · vol 30 · best pos 4 · direct local route signal
language courses,general_language,P2,5,5,30,15,educateme.lu | inlingua.lu | luxlanguages.lu | moienasbl.lu | prolingua.lu,5 domains · vol 30 · best pos 5 · category-level language demand
apprendre luxembourgeois en ligne,luxembourgish_route,P2,5,31,30,3,inlingua.lu | luxlanguages.lu | luxlessons.lu | moienasbl.lu | prolingua.lu,5 domains · vol 30 · best pos 31 · direct local route signal
sproochentest,luxembourgish_route,P2,4,0,880,14,educateme.lu | inll.lu | luxlanguages.lu | luxlessons.lu,4 domains · vol 880 · best pos 0 · direct local route signal
formation luxembourg,continuing_education,P2,4,0,720,38,houseoftraining.lu | infpc.lu | lifelong-learning.lu | unipop.lu,4 domains · vol 720 · best pos 0 · discovery / continuing-ed lane
formation lu,continuing_education,P2,4,1,720,31,houseoftraining.lu | infpc.lu | lifelong-learning.lu | unipop.lu,4 domains · vol 720 · best pos 1 · discovery / continuing-ed lane
learn luxembourgish online,luxembourgish_route,P2,4,0,480,21,educateme.lu | luxlanguages.lu | luxlessons.lu | moienasbl.lu,4 domains · vol 480 · best pos 0 · direct local route signal
sproochentest luxembourg,luxembourgish_route,P2,4,1,170,15,educateme.lu | inll.lu | luxlessons.lu | sproochentest.etic.lu,4 domains · vol 170 · best pos 1 · direct local route signal
cours du soir luxembourg,continuing_education,P2,4,2,170,9,houseoftraining.lu | infpc.lu | institut-francais-luxembourg.lu | lifelong-learning.lu,4 domains · vol 170 · best pos 2 · discovery / continuing-ed lane
cours en ligne luxembourg,general_language,P2,4,6,110,11,educateme.lu | institut-francais-luxembourg.lu | sproochentest.etic.lu | unipop.lu,4 domains · vol 110 · best pos 6 · category-level language demand
luxembourgish online course,luxembourgish_route,P2,4,0,90,17,educateme.lu | luxlanguages.lu | luxlessons.lu | moienasbl.lu,4 domains · vol 90 · best pos 0 · direct local route signal
