"product_code","title","market","model","quadrant_segment","seed_price","seed_revenue","validation_model","binary_pass_signal","binary_kill_signal","estimated_cost_to_signal_eur","estimated_days_to_signal","estimated_days_to_first_euro","founder_independence_score_1_5","regulatory_friction_inverse_score_1_5","retention_structure_score_1_5","demand_evidence_score_1_5","wtp_score_1_5","cac_reality_score_1_5","testability_score_1_5","time_to_first_euro_score_1_5","macro_trajectory_score_1_5","channel_fit_score_1_5","velocity_composite","pull_composite","score_confidence_band","score_confidence_reason","channel_primary","channel_secondary","portfolio_niche","portfolio_persona","portfolio_price_point","portfolio_delivery_mode","semrush_market","semrush_database","semrush_language","semrush_keyword_bucket_a","semrush_keyword_bucket_b","semrush_keyword_bucket_c","semrush_keyword_bucket_d","semrush_keyword_count_total","semrush_keyword_count_commercial","semrush_volume_sum","semrush_volume_sum_commercial","semrush_avg_cpc","semrush_max_cpc","semrush_avg_competitive_density","semrush_high_intent_keyword_count","semrush_paid_competitor_count","semrush_top_paid_competitors","semrush_observed_price_points","semrush_serp_feature_notes","semrush_traffic_analytics_notes","notes"
"A1","AI Literacy Workshop","LUX","B2B","B2B","€1,500–4,000","Y1: €60–120K","","","","","","","","","","","","","","","","","","","","","","","","","","","LUX","","","","","","","","","","","","","","","","","",""
"A2","AI Productivity Day","LUX","B2B","B2B","€2,500–5,000","Y1: €50–100K","","","","","","","","","","","","","","","","","","","","","","","","","","","LUX","","","","","","","","","","","","","","","","","",""
"A3","Prompt Engineering Workshop","LUX","B2B","B2B","€2,000–4,000","Y1: €40–80K","","","","","","","","","","","","","","","","","","","","","","","","","","","LUX","","","","","","","","","","","","","","","","","",""
"A4","AI for Finance & Compliance","LUX","B2B","B2B","€8,000–15,000","Y1: €80–150K","","","","","","","","","","","","","","","","","","","","","","","","","","","LUX","","","","","","","","","","","","","","","","","",""
"A5","MiFID II Compliance Training","LUX","B2B","B2B","€800–1,500","Y1: €80–120K","","","","","","","","","","","","","","","","","","","","","","","","","","","LUX","","","","","","","","","","","","","","","","","",""
"A6","Expat Onboarding 'Luxembourg Ready'","LUX","B2B","B2B","€2,500–4,000","Y1: €125–200K","","","","","","","","","","","","","","","","","","","","","","","","","","","LUX","","","","","","","","","","","","","","","","","",""
"A7","Professional French (sector-specific)","LUX","B2B,B2C","B2B","€600–800","Y1: €77K","","","","","","","","","","","","","","","","","","","","","","","","","","","LUX","","","","","","","","","","","","","","","","","",""
"A8","B2B Language Proficiency Audit","LUX","B2B","B2B","€3,000–8,000","Y1: €45–120K + training upsell €100K+","","","","","","","","","","","","","","","","","","","","","","","","","","","LUX","","","","","","","","","","","","","","","","","",""
"A9","Integration Bundle (Sproochtest+)","LUX","B2B,B2C","B2B","€200–400","Y1: €55K","","","","","","","","","","","","","","","","","","","","","","","","","","","LUX","","","","","","","","","","","","","","","","","",""
"A10","CSRD/ESG Compliance Training","LUX","B2B","B2B","€800–1,500","Y1: €24–45K (net after partner split)","","","","","","","","","","","","","","","","","","","","","","","","","","","LUX","","","","","","","","","","","","","","","","","",""
"L1","Sproochtest Preparation","LUX","B2C","B2C","€910–2,520","Y1: Established (core)","","","","","","","","","","","","","","","","","","","","","","","","","","","LUX","","","","","","","","","","","","","","","","","",""
"L2","Lëtz Care — Medical Luxembourgish","LUX","B2B","B2B","€2,400–9,600","Y1: Pilot stage (scaling)","","","","","","","","","","","","","","","","","","","","","","","","","","","LUX","","","","","","","","","","","","","","","","","",""
"L3","French for Work & Business","LUX","B2B","B2B","€2,000–6,000","Y1: Pilot stage (testing variants)","","","","","","","","","","","","","","","","","","","","","","","","","","","LUX","","","","","","","","","","","","","","","","","",""
"L4","Custom Corporate Language Programs","LUX","B2B","B2B","€3,000–10,000","Y1: Active growth (B2B core)","","","","","","","","","","","","","","","","","","","","","","","","","","","LUX","","","","","","","","","","","","","","","","","",""
"L5","Luxembourgish for Business","LUX","B2B,B2C","B2B","€500–1,200","Y1: Established (steady demand)","","","","","","","","","","","","","","","","","","","","","","","","","","","LUX","","","","","","","","","","","","","","","","","",""
"B1","German for Nurses (B1→B2 Pflege Sprint)","EU","B2B,B2C","B2B","€699–1,200","Y1: €90K (4 cohorts × 15 × €1,500)","","","","","","","","","","","","","","","","","","","","","","","","","","","EU","","","","","","","","","","","","","","","","","",""
"B2","Medical French for Nurses","EU","B2B,B2C","B2B","€499–899","Y1: €40–60K","","","","","","","","","","","","","","","","","","","","","","","","","","","EU","","","","","","","","","","","","","","","","","",""
"B3","AI Literacy (EU-wide remote)","EU","B2B","B2B","€1,500–4,000","Y1: €30–60K (incremental)","","","","","","","","","","","","","","","","","","","","","","","","","","","EU","","","","","","","","","","","","","","","","","",""
"B4","White-Label Course Licensing","EU","B2B","B2B","€5,000–15,000/yr","Y1: €25–150K","","","","","","","","","","","","","","","","","","","","","","","","","","","EU","","","","","","","","","","","","","","","","","",""
"B5","Healthcare Recruitment Pipeline","EU","B2B2C","B2B","€2–4K + rev share","Y1: €100–240K (at 20 placements)","","","","","","","","","","","","","","","","","","","","","","","","","","","EU","","","","","","","","","","","","","","","","","",""
"B6","Embedded Onboarding for Staffing Agencies","EU","B2B2C","B2B","€1,500–3,000","Y1: €50–80K","","","","","","","","","","","","","","","","","","","","","","","","","","","EU","","","","","","","","","","","","","","","","","",""
"C1","OET Prep (repriced)","GCC","B2C","B2C","€149–199","Y1: €15–30K","","","","","","","","","","","","","","","","","","","","","","","","","","","GCC","","","","","","","","","","","","","","","","","",""
"L6","OET Nursing Preparation","GCC","B2C","B2C","€199–599","Y1: Pilot stage (validated curriculum)","","","","","","","","","","","","","","","","","","","","","","","","","","","GCC","","","","","","","","","","","","","","","","","",""
"L7","OET Medical Preparation (Doctors)","GCC","B2C","B2C","€700–1,500","Y1: Pilot stage (premium segment)","","","","","","","","","","","","","","","","","","","","","","","","","","","GCC","","","","","","","","","","","","","","","","","",""
