keyword,domains_count,domains,best_position,max_volume,min_kd,intents,source_types,top_urls
cours luxembourgeois,9,inlingua.lu | inll.lu | lifelong-learning.lu | luxlanguages.lu | luxlessons.lu | moienasbl.lu | prolingua.lu | sproochentest.etic.lu | unipop.lu,1,260,26,C,organic-position,https://www.inlingua.lu/adultes/adultes-cours-en-groupe | https://www.inll.lu/fr/langues/luxembourgeois/ | https://www.lifelong-learning.lu/recherche/formations/langues/luxembourgeois/fr | https://www.luxlanguages.lu/ | https://www.luxlanguages.lu/formations/
cours de luxembourgeois,7,educateme.lu | inll.lu | lifelong-learning.lu | luxlanguages.lu | luxlessons.lu | moienasbl.lu | prolingua.lu,2,720,21,I,organic-position,https://educateme.lu/tpost/ukdm5mo7s1-apprendre-le-luxembourgeois-sans-se-ruin | https://www.inll.lu/fr/cours-de-langue/ | https://www.lifelong-learning.lu/recherche/formations/langues/luxembourgeois/fr | https://www.luxlanguages.lu/ | https://www.luxlessons.lu/
french courses luxembourg,6,educateme.lu | inlingua.lu | institut-francais-luxembourg.lu | lifelong-learning.lu | luxlanguages.lu | prolingua.lu,2,390,14,C,organic-position,https://educateme.lu/ | https://educateme.lu/french-courses-online | https://www.inlingua.lu/en | https://www.inlingua.lu/en/adultes/adultes-cours-en-groupe | https://www.inlingua.lu/
language courses luxembourg,6,educateme.lu | inlingua.lu | inll.lu | luxlessons.lu | moienasbl.lu | prolingua.lu,1,320,21,C,organic-position,https://educateme.lu/learning-luxembourgish-short | https://www.inlingua.lu/en | https://www.inll.lu/en/institut-en/ | https://www.luxlessons.lu/ | https://moienasbl.lu/en/services/
cours de langue luxembourg,6,inlingua.lu | inll.lu | luxlanguages.lu | moienasbl.lu | prolingua.lu | unipop.lu,1,140,41,I,organic-position,https://www.inlingua.lu/ | https://www.inlingua.lu/adultes/adultes-cours-en-groupe | https://www.inll.lu/ | https://www.luxlanguages.lu/ | https://moienasbl.lu/services/cours-de-luxembourgeois/
courses in luxembourg,6,educateme.lu | inlingua.lu | luxlanguages.lu | moienasbl.lu | prolingua.lu | unipop.lu,19,110,22,C,organic-position,https://educateme.lu/ | https://www.inlingua.lu/en/adultes/adultes-cours-en-groupe | https://www.luxlanguages.lu/ | https://moienasbl.lu/en/services/ | https://moienasbl.lu/en/services/cours-de-luxembourgeois/
cours intensifs luxembourgeois,6,inlingua.lu | institut-francais-luxembourg.lu | luxlanguages.lu | moienasbl.lu | prolingua.lu | unipop.lu,3,70,15,C,organic-position,https://www.inlingua.lu/adultes/adultes-cours-en-groupe | https://www.inlingua.lu/ | https://institut-francais-luxembourg.lu/cours-collectifs-adultes-cours-intensifs/ | https://institut-francais-luxembourg.lu/cours-collectifs-adultes/ | https://www.luxlanguages.lu/
french lessons luxembourg,6,educateme.lu | inlingua.lu | institut-francais-luxembourg.lu | luxlanguages.lu | prolingua.lu | unipop.lu,6,30,11,C,organic-position,https://educateme.lu/french-courses-online | https://www.inlingua.lu/en/adultes/adultes-cours-en-groupe | https://www.inlingua.lu/en | https://institut-francais-luxembourg.lu/ | https://www.luxlanguages.lu/
cours de français luxembourg,5,inlingua.lu | institut-francais-luxembourg.lu | luxlanguages.lu | prolingua.lu | unipop.lu,5,140,16,C,organic-position,https://www.inlingua.lu/ | https://www.inlingua.lu/adultes/adultes-cours-individuels | https://institut-francais-luxembourg.lu/ | https://institut-francais-luxembourg.lu/cours-collectifs-adultes/ | https://institut-francais-luxembourg.lu/cours-collectifs-adultes-cours-du-samedi-matin/
cours intensif anglais luxembourg,5,inlingua.lu | lifelong-learning.lu | luxlanguages.lu | moienasbl.lu | prolingua.lu,1,40,16,C,organic-position,https://www.inlingua.lu/ | https://www.inlingua.lu/adultes/adultes-cours-en-groupe | https://www.inlingua.lu/en/adultes/adultes-cours-en-groupe | https://www.inlingua.lu/adultes | https://www.lifelong-learning.lu/recherche/formations/langues/anglais/fr
